Gender,Event,venues,Year,Medal,Name,Country,Time
M,4X400M Relay Men,Beijing,2008,S,null,BAH,02:58.0
M,5000M Men,Beijing,2008,G,Kenenisa BEKELE,ETH,12:57.8
M,5000M Men,Beijing,2008,S,Eliud Kipchoge ROTICH,KEN,13:02.8
M,5000M Men,Beijing,2008,B,Edwin Cheruiyot SOI,KEN,13:06.2
M,Marathon Men,Beijing,2008,G,Samuel Kamau WANJIRU,KEN,2h06:32
M,Marathon Men,Beijing,2008,S,Jaouad GHARIB,MAR,2h07:16
M,Marathon Men,Beijing,2008,B,Tsegay KEBEDE,ETH,2h10:00
M,100M Men,London,2012,G,Usain BOLT,JAM,9.63
M,100M Men,London,2012,S,Yohan BLAKE,JAM,9.75
M,100M Men,London,2012,B,Justin GATLIN,USA,9.79
M,110M Hurdles Men,London,2012,G,Aries MERRITT,USA,12.92
M,110M Hurdles Men,London,2012,S,Jason RICHARDSON,USA,13.04
M,110M Hurdles Men,London,2012,B,Hansle PARCHMENT,JAM,13.12
M,200M Men,London,2012,G,Usain BOLT,JAM,19.32
M,200M Men,London,2012,S,Yohan BLAKE,JAM,19.44
M,200M Men,London,2012,B,Warren WEIR,JAM,19.84
M,400M Men,London,2012,G,Kirani JAMES,GRN,43.94
M,400M Men,London,2012,S,Luguelin SANTOS,DOM,44.46
M,400M Men,London,2012,B,Lalonde GORDON,TTO,44.52
M,4X100M Relay Men,London,2012,G,null,JAM,36.84
M,4X100M Relay Men,London,2012,S,null,TTO,38.12
M,4X100M Relay Men,London,2012,B,null,FRA,38.16
M,4X400M Relay Men,London,2012,G,null,BAH,02:56.7
M,4X400M Relay Men,London,2012,S,null,USA,02:57.1
M,4X400M Relay Men,London,2012,B,null,TTO,02:59.4
M,5000M Men,London,2012,G,Mohamed FARAH,GBR,13:41.7
M,5000M Men,London,2012,S,Dejen GEBREMESKEL,ETH,13:42.0
M,5000M Men,London,2012,B,Thomas Pkemei LONGOSIWA,KEN,13:42.4
M,Marathon Men,London,2012,G,Stephen KIPROTICH,UGA,2:08:01
M,Marathon Men,London,2012,S,Abel KIRUI,KEN,2:08:27
M,Marathon Men,London,2012,B,Wilson Kipsang KIPROTICH,KEN,2:09:37
M,100M Men,Rio,2016,G,Usain BOLT,JAM,9.81
M,100M Men,Rio,2016,S,Justin GATLIN,USA,9.89
M,100M Men,Rio,2016,B,Andre DE GRASSE,CAN,9.91
M,110M Hurdles Men,Rio,2016,G,Omar MCLEOD,JAM,13.05
M,110M Hurdles Men,Rio,2016,S,Orlando ORTEGA,ESP,13.17
M,110M Hurdles Men,Rio,2016,B,Dimitri BASCOU,FRA,13.24
M,200M Men,Rio,2016,G,Usain BOLT,JAM,19.78
M,200M Men,Rio,2016,S,Andre DE GRASSE,CAN,20.02
M,200M Men,Rio,2016,B,Christophe LEMAITRE,FRA,20.12
M,400M Men,Rio,2016,G,Wayde VAN NIEKERK,RSA,43.03
M,400M Men,Rio,2016,S,Kirani JAMES,GRN,43.76
M,400M Men,Rio,2016,B,Lashawn MERRITT,USA,43.85
M,4X100M Relay Men,Rio,2016,G,null,JAM,37.27
M,4X100M Relay Men,Rio,2016,S,null,JPN,37.6
M,4X100M Relay Men,Rio,2016,B,null,CAN,37.64
M,5000M Men,Rio,2016,G,Mohamed FARAH,GBR,13:03.3
M,5000M Men,Rio,2016,S,Paul Kipkemoi CHELIMO,USA,13:03.9
M,5000M Men,Rio,2016,B,Hagos GEBRHIWET,ETH,13:04.3
M,Marathon Men,Rio,2016,G,Eliud Kipchoge ROTICH,KEN,2:08:44
M,Marathon Men,Rio,2016,S,Feyisa LILESA,ETH,2:09:54
M,Marathon Men,Rio,2016,B,Galen RUPP,USA,2:10:05
